spanish,english,category
?A que hora quedamos?,What time are we meeting?,Sentences
A las ______,(At _______ (time meeting),Sentences
en punto,O'clock,Home
abren (ah bren),open,Basic Words
menos cuarto,quarter to,Home
la medianoche (medi-ah-noche),Midnight,Basic Words
No puedo.,I can't,Basic Words
?Me acompanas? (ah-co-pan-yas),Will you join me?,Basic Words
Por aqui   Por ahi,This way / That way,Sentences
Lo olvide por completo (ol-vi-de) (com-ple-to),I completely forgot,Sentences
Sigueme,Follow me,Normal Express
Esta divertido ,It's fun,Normal Express
Piensalo (pien-salo),Think about it,Basic Words
Estoy de buen humor,I am in a good mood,Sentences
Son las  / Es la doce,it's twelve o'clock,Sentences
coger un autobus (co-her),To take a bus ,Sentences
ir en metro,To go by underground,Sentences
ir en tren,To go by train,Sentences
ir en barco,To go by boat,Sentences
ir en coche ,To go by car,Sentences
viajar (via-har) en avion,To travel by plane,Sentences
el billete (b-eh-te),The ticket,Basic Words
?Cuanto cuesta un billete de autobus?,How much does a bus ticket cost?,Sentences
Donde vives?,Where so you live? ,Sentences
Cuando?  (quan-do),When?,Basic Words
Como?,How?,Basic Words
Cuantro (quan-tro),How much?,Basic Words
?Cual es la manera mas rapida?,What's the fastest way?,Sentences
Se / Sabes / sabemos ,Can (ability to do so),Basic Words
Correr (corrr-er),to run,Basic Words
Hacer senderismo (send-der-rismo),to go hiking,Sentences
el baloncesto (balon-cesto),basketball,Basic Words
nadar ,to swim,Basic Words
esquiar (es-qui-ar),to ski,Basic Words
Tienes unos ojos muy bonitos ,You have very pretty eyes,Sentences
Se acabo  (aca-bo),It's finished,Normal Express
Tengo una cita ,I have an appointment,Sentences
? Cual te gusta? ,Which one do you like?,Sentences
Estoy a favor  / Estoy en contra ,I am in favor / I am against it ,Normal Express
? Que Paso ?  (Pah-so),What happened?,Basic Words
Preguntale  (Pre-gun-ta-le),Ask her  / Ask Him,Basic Words
Casi,Almost,Basic Words
? De donde eres ?,Where are you all from?,Sentences
Como llego a la _____________,How do I get to ___________,Sentences
Canta,Sings,Basic Words
? Viajais en _____ (via-heist),Do you travel by _____,Sentences
Igualmente (ee - gual - men- te),Same here,Basic Words
?Que te gusta hacer en tu tiempo libre? ,What do you like to do in your free time?,Sentences
Ver ,Watch,Basic Words
Peliculas (pe-li-cu-las),Movies,Normal Express
Necesito ir al aeropuerto (ah-roh-PWER-toh),I need to go to the airport,Sentences
Illamare (yah-mah-REH) / Te llmare ,Call me  / Call you ,Sentences
?Donde esta la salida?,Where is the exit?,Sentences
Tengo hambre  / Tengo Sed,I'm hungry /  I'm thirsty ,Normal Express
"Por favor, sientate (sien-ta-te)",Please sit down,Sentences
?Quieres un poco?,Do you want some?,Sentences
Gracias por la comida.,Thanks for the food.,Sentences
Eres muy amable (er-es) (ah-mah-ble),You're very kind.,Sentences
Es barato  (es bah Rah toh),It's cheap ,Basic Words
Es caro,It's expensive,Basic Words
?Como estuvo tu dia? (ess-TU-vo),How was your day?,Sentences
?En que estas pensando?,What are you thinking about?,Sentences
Es facil,It’s easy,Basic Words
Es dificil (es-DEE-fee-seel),It's difficult,Basic Words
